"날짜","종합운동장·사무공간","종합운동장·휴식/대기공간","종합운동장·기타공간","치악체육관·귀빈실","치악체육관·남자휴게실","치악체육관·사무실","치악체육관·여자 휴게실","국민체육센터·1층","국민체육센터·2층","국민체육센터·지하","종합체육관·체육사업부 사무실","종합체육관·휴게공간"
"2026-05-01","0","0","0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","3.19","0.08"
"2026-05-02","0","0","0","0.0","0.0","0.0","0.0","2.48","0.36","1.1","0.96","0.12"
"2026-05-03","0","0","0","0.0","0.0","0.0","0.0","2.19","0.58","1.12","0.56","2.5"
"2026-05-04","0","0","0","0.0","5.81","0.16","0.0","2.01","0.0","0.01","0.04","0.83"
"2026-05-05","0","0","0","0.0","0.0","0.0","0.0","2.19","0.01","0.97","0","0"
"2026-05-06","0","0","0","0.0","4.28","0.0","0.0","2.54","0.07","2.78","0.83","3.29"
"2026-05-07","0","0","0","0.0","0.0","0.0","0.0","4.5","0.59","1.27","0.77","0.29"
"2026-05-08","0","0","0","0.4","5.17","1.44","1.11","3.86","0.55","1.49","0.83","0.58"
"2026-05-09","0","0","0","2.54","7.47","0.55","1.82","4.62","0.56","2.28","0.38","0.04"
"2026-05-10","0","0","0","2.72","0.0","7.62","3.42","4.32","0.74","1.34","0.48","0.25"
"2026-05-11","1","0","0","0.0","6.04","0.15","8.32","2.03","0.0","0.01","0","0.79"
"2026-05-12","0","0","0","1.02","5.22","0.63","8.1","4.7","0.17","1.54","0","0.38"
"2026-05-13","0","0","0","1.19","0.16","0.54","5.72","5.33","0.17","2.51","0.88","1.25"
"2026-05-14","2.15","0","0","0.08","0.0","0.08","0.0","5.62","0.61","1.76","0.73","1.12"
"2026-05-15","2.7","0","0","0.0","5.96","0.72","0.96","8.48","0.17","1.78","3.65","2.29"
"2026-05-16","4.57","0","0","0.0","2.77","0.08","0.0","7.51","0.36","1.38","1.4","1.75"
"2026-05-17","5.6","0","0","0.0","0.0","6.04","0.0","7.33","0.5","1.29","1.44","0.5"
"2026-05-18","3.1","0","0","0.0","5.71","0.08","0.0","2.16","0.0","0.76","4.65","0.71"
"2026-05-19","4.37","0","0","0.0","0.96","0.08","1.35","7.45","0.12","1.76","4.38","0.92"
"2026-05-20","0","0","0","0.24","5.4","0.08","0.0","7.39","0.13","1.84","5.75","2.12"
"2026-05-21","0","0","0","0.0","0.0","0.0","0.0","7.18","0.44","1.39","3.67","1.83"
"2026-05-22","1.03","0","0","0.0","4.13","0.0","0.0","8.31","0.62","4.76","5.65","2.08"
"2026-05-23","2.66","0","0","0.0","0.72","0.17","6.76","5.77","0.07","1.48","1.9","0.75"
"2026-05-24","0","0","0","0.0","0.0","0.0","0.0","6.22","0.69","1.5","5.1","0.71"
"2026-05-25","0","0","0","0.0","0.0","0.0","0.0","2.06","0.0","0.01","2.35","0.21"
"2026-05-26","3.22","0","0","0.0","2.53","6.88","1.74","10.37","0.14","3.15","4.71","3.33"
"2026-05-27","1.63","0","0","0.0","2.3","0.88","0.0","6.66","0.08","2.91","5.77","4.17"
"2026-05-28","0","0","0","0.0","0.0","4.61","0.0","6.0","0.32","1.69","6.81","4.17"
"2026-05-29","3.78","0","5.52","1.05","3.97","0.0","0.0","5.82","0.12","2.34","4.77","3.96"
"2026-05-30","0","0","12.03","0.0","0.0","0.0","0.0","4.83","4.86","1.45","1.88","1.58"
"2026-05-31","5.64","0","12.08","0.0","0.0","0.23","0.0","5.99","4.63","2.06","7.35","0.92"
